Order,Family,Subfamily,Genus,Common Name,Simp_Spec,Spectrum,Downy hatchling plumage,Motor activity,Locomotor activity,Follow parent(s),Search and feed alone,Young are fed by parents,Stay in nest,Closed eyes at time of hatching,Lack external feathers at time of hatching,No parent chick interactions,Contour feathers at hatching 
Caprimulgiformes,Caprimulgidae,Eurostopodinae,Caprimulgus,nightjars,Semialtricial,Semialtricial,,,,,,,,,,,
Caprimulgiformes,Caprimulgidae,Chordeilinae,Chordeiles,New World nighthawks,Semialtricial,Semialtricial,,,,,,,,,,,
Caprimulgiformes,Steatornithidae,,Steatornis,oilbird / guacharo,,,,,,,,,,,,,
Caprimulgiformes,Nyctibiidae,,Nyctibius,potoos,,,,,,,,,,,,,
Caprimulgiformes,Podargidae,,Podargus,frogmouth,Semialtricial,Semialtricial,,,,,,,,,,,
Caprimulgiformes,Aegothelidae,,Aegotheles,Owlet-nightjars,,,,,,,,,,,,,
Apodiformes,Hemiprocnidae,,Hemiprocne,Treeswifts or crested swifts,,,,,,,,,,,,,
Apodiformes,Apodidae,Cypseloidinae,Streptoprocne,swifts ,,,,,,,,,,,,,
Apodiformes,Apodidae,Apodinae,Chaetura,needletail swifts,,,,,,,,,,,,,
Apodiformes,Trochilidae,Trochilinae,Topaza,topaz hummingbirds,Altricial,Altricial 2,,,,,,,,,,,
Apodiformes,Trochilidae,Phaethornithinae,Phaethornis,hermit hummingbirds,Altricial,Altricial 2,,,,,,,,,,,
Apodiformes,Trochilidae,Trochilinae,Archilochus,ruby-throated & black-chinned hummingbird,Altricial,Altricial 2,,,,,,,,,,,
Musophagiformes,Musophagidae,Musophaginae,Tauraco,turacos,,,,,,,,,,,,,
Musophagiformes,Musophagidae,,Corythaeola,great blue turaco,,,,,,,,,,,,,
Otidiformes,Otididae,,Ardeotis,bustard ,,,,,,,,,,,,,
Cuculiformes,Cuculidae,Neomorphinae,Tapera,striped cuckoo,Altricial,Altricial 2,,,,,,,,,,,
Cuculiformes,Cuculidae,,Centropus,coucal (cuckoo),Altricial,Altricial 2,,,,,,,,,,,
Cuculiformes,Cuculidae,,Cuculus,Old World cuckoo,Altricial,Altricial 2,,,,,,,,,,,
Cuculiformes,Cuculidae,,Coccyzus,America cuckoos,Altricial,Altricial 2,,,,,,,,,,,
Mesitornithiformes,Mesitornithidae,,Monias,subdesert mesite,,,,,,,,,,,,,
Mesitornithiformes,Mesitornithidae,,Mesitornis,white-breasted mesite / brown mesite,,,,,,,,,,,,,
Pterocliformes,Pteroclidae,,Syrrhaptes,Asian sandgrouse,,,,,,,,,,,,,
Pterocliformes,Pteroclidae,,Pterocles,sandgrouse,,,,,,,,,,,,,
Columbiformes,Columbidae,Ptilinopinae,Ptilinopus,fruit doves,Altricial,Altricial 1,,,,,,,,,,,
Columbiformes,Columbidae,Treroninae,Treron,green pigeons,Altricial,Altricial 1,,,,,,,,,,,
Columbiformes,Columbidae,Columbinae,Columbina,New World ground-doves,Altricial,Altricial 1,,,,,,,,,,,
Columbiformes,Columbidae,Columbinae,Leptotila,doves,Altricial,Altricial 1,,,,,,,,,,,
Columbiformes,Columbidae,Columbinae,Columba,typical pigeons,Altricial,Altricial 1,,,,,,,,,,,
Gruiformes,Heliornithidae,,Heliornis,sungrebe or American finfoot,,,,,,,,,,,,,
Gruiformes,Sarothruridae,,Sarothrura,flufftails,,,,,,,,,,,,,
Gruiformes,"	Rallidae",Rallinae,Rallus,wetland rails,Precocial ,Precocial 3,,,,,,,,,,,
Gruiformes,"	Rallidae",,Micropygia,ocellated crake ,Precocial ,Precocial 3,,,,,,,,,,,
Gruiformes,"	Rallidae",,Porphyrio,swamphen,Precocial ,Precocial 3,,,,,,,,,,,
Gruiformes,Psophiidae,,Psophia,trumpeter,,,,,,,,,,,,,
Gruiformes,Aramidae,,Aramus,limpkin /  carrao / courlan / crying bird,,,,,,,,,,,,,
Gruiformes,"	Gruidae","	Balearicinae",Balearica,crowned crane,Precocial ,Precocial 3,,,,,,,,,,,
Gruiformes,"	Gruidae",,Grus,crane,Precocial ,Precocial 3,,,,,,,,,,,
"	Phoenicopteriformes",Phoenicopteridae,,Phoenicopterus,flamingo,,,,,,,,,,,,,
"	Podicipediformes",Podicipedidae,,Rollandia,South America grebe,,,,,,,,,,,,,
Charadriiformes,Burhinidae,,Burhinus,thick-knee / stone-curlew / dikkop,,,,,,,,,,,,,
Charadriiformes,Charadriidae,Charadriinae,Charadrius,plovers,,,,,,,,,,,,,
Charadriiformes,"	Haematopodidae",,Haematopus,oystercatchers,,,,,,,,,,,,,
Charadriiformes,Recurvirostridae,,Recurvirostra,curved bill avocets,,,,,,,,,,,,,
Charadriiformes,Pedionomidae,,Pedionomus,plains-wanderer,,,,,,,,,,,,,
Charadriiformes,"	Jacanidae",,Jacana,Jacana,Precocial ,Precocial 1,,,,,,,,,,,
Charadriiformes,"	Rostratulidae",,Rostratula,painted-snipes,,,,,,,,,,,,,
Charadriiformes,Scolopacidae,,Limosa,godwits ,,,,,,,,,,,,,
Charadriiformes,Scolopacidae,,Arenaria,Turnstones ,,,,,,,,,,,,,
Charadriiformes,Scolopacidae,,Tringa,shanks / tattlers,,,,,,,,,,,,,
Charadriiformes,"	Turnicidae",,Turnix,Buttonquail ,,,,,,,,,,,,,
Charadriiformes,Glareolidae,Glareolinae,Glareola,pratincoles ,,,,,,,,,,,,,
Charadriiformes,"	Alcidae",,Uria,guillemots / murres / turr,,,,,,,,,,,,,
Charadriiformes,Laridae,,Chroicocephalus,gulls,Semiprecocial,Semiprecocial,,,,,,,,,,,
Charadriiformes,Laridae,"	Sternini",Sterna,terns,Semiprecocial,Semiprecocial,,,,,,,,,,,
Charadriiformes,Laridae,,Rynchops,skimmers,Semiprecocial,Semiprecocial,,,,,,,,,,,
"	Eurypygiformes",Eurypygidae,,Eurypyga,sunbittern ,,,,,,,,,,,,,
Phaethontiformes,"	Phaethontidae",,Phaethon,Tropicbirds ,,,,,,,,,,,,,
"	Gaviiformes","	Gaviidae",,Gavia,loons,,,,,,,,,,,,,
Sphenisciformes,Spheniscidae,,Spheniscus,Banded penguins,,,,,,,,,,,,,
Procellariiformes,Diomedeidae,,Phoebastria,albatross ,,,,,,,,,,,,,
Procellariiformes,Oceanitidae,,Oceanites,austral storm petrel,,,,,,,,,,,,,
Procellariiformes,Oceanitidae,,Pelagodroma ,white-faced storm petrel,,,,,,,,,,,,,
